One	NUM	CD	-	-	-	False
is	VERB	VBZ	-	-	-	False
the	DET	DT	-	-	-	False
extraordinary	ADJ	JJ	extraordinary.a	Desirability	-	False
evidence	NOUN	NN	-	-	Evaluee	True
of	ADP	IN	-	-	-	False
human	ADJ	JJ	-	-	-	False
creativity	NOUN	NN	-	-	-	False
in	ADP	IN	-	-	-	False
all	DET	DT	-	-	-	False
of	ADP	IN	-	-	-	False
the	DET	DT	-	-	-	False
presentations	NOUN	NNS	-	-	-	False
that	PRON	WDT	-	-	-	False
we	PRON	PRP	-	-	-	False
've	VERB	VBP	-	-	-	False
had	VERB	VBN	-	-	-	False
and	CCONJ	CC	-	-	-	False
in	ADP	IN	-	-	-	False
all	DET	DT	-	-	-	False
of	ADP	IN	-	-	-	False
the	DET	DT	-	-	-	False
people	NOUN	NNS	-	-	-	False
here	ADV	RB	-	-	-	False
.	PUNCT	.	-	-	-	False

Eines	INTJ	NNP	-	-	-	False
sind	INTJ	NN	-	-	-	False
die	X	VBP	-	-	-	False
überwältigenden	X	NNP	überwältigend.a	Desirability	-	False
Zeugnisse	PROPN	NNP	-	-	Evaluee	True
menschlicher	PROPN	NN	-	-	-	False
Kreativität	PROPN	NNP	-	-	-	False
in	ADP	IN	-	-	-	False
allen	PROPN	NNP	-	-	-	False
Vorträgen	PROPN	NNP	-	-	-	False
,	PUNCT	,	-	-	-	False
die	VERB	VBP	-	-	-	False
wir	X	NN	-	-	-	False
gehört	X	FW	-	-	-	False
haben	X	FW	-	-	-	False
und	X	FW	-	-	-	False
in	ADP	IN	-	-	-	False
allen	PROPN	NN	-	-	-	False
Menschen	PROPN	NNP	-	-	-	False
hier	ADJ	NN	-	-	-	False
--	PUNCT	:	-	-	-	False
allein	X	FW	-	-	-	False
ihre	X	FW	-	-	-	False
Vielfalt	X	FW	-	-	-	False
und	X	FW	-	-	-	False
ihre	X	FW	-	-	-	False
Bandbreite	PROPN	NNP	-	-	-	False
.	PUNCT	.	-	-	-	False
